question_id,subject,大領域,中領域,観点,知識理解,資質能力,全国値,困難度,解答形式
国36,kokugo,1,1,2,,3,72,-1.155,1
国37,kokugo,3,12,1,1,,86,-1.558,2
国38,kokugo,3,12,1,1,,94,-2.16,2
国39,kokugo,3,12,1,1,,95,-2.062,2
国40,kokugo,2,8,1,1,,47,0.11,2
国41,kokugo,2,8,1,1,,33,0.837,2
国42,kokugo,2,8,1,1,,75,-1.075,2
国43,kokugo,2,8,1,1,,61,-0.554,2
国44,kokugo,3,10,2,,,61,-0.563,1
国45,kokugo,3,9,2,,2,30,0.776,2
国45,kokugo,3,9,2,,5,30,0.776,2
国46,kokugo,3,10,2,,2,56,-0.315,1
国46,kokugo,3,10,2,,5,56,-0.315,1
国47,kokugo,3,10,2,,2,58,-0.38,1
国48,kokugo,3,11,2,,5,34,1.303,1
国49,kokugo,2,5,2,,1,27,2.155,1
国49,kokugo,2,5,2,,5,27,2.155,1
国50,kokugo,2,5,2,,1,54,-0.252,1
国50,kokugo,2,5,2,,5,54,-0.252,1
国51,kokugo,2,8,1,2,1,56,-0.306,1
国52,kokugo,2,8,1,2,1,50,-0.049,1
国53,kokugo,2,5,2,,1,38,0.62,3
国53,kokugo,2,5,2,,2,38,0.62,3
国54,kokugo,2,6,2,,1,26,1.224,3
国54,kokugo,2,6,2,,2,26,1.224,3
国55,kokugo,2,6,2,,1,29,1.018,3
国55,kokugo,2,6,2,,2,29,1.018,3
社1,shakai,1,1,1,2,,81,-1.971,1
社2,shakai,1,1,2,,2,32,0.804,3
社2,shakai,1,1,2,,4,32,0.804,3
社3,shakai,1,1,2,,3,74,-1.826,1
社4,shakai,1,1,2,,3,81,-1.669,1
社5,shakai,1,1,1,1,,34,0.684,1
社6,shakai,1,1,1,1,,65,-0.725,1
社7,shakai,1,1,1,1,,45,0.3,1
社8,shakai,1,1,1,1,,65,-0.783,1
社9,shakai,1,1,2,,2,71,-0.922,2
社10,shakai,1,2,2,,5,77,-1.533,1
社11,shakai,1,2,2,,5,65,-1.026,1
社12,shakai,1,2,1,2,,45,0.406,1
社13,shakai,1,2,1,2,,56,-0.602,1
社14,shakai,1,2,2,,2,59,-0.453,3
社15,shakai,1,2,1,1,,71,-1.077,2
社16,shakai,1,2,1,1,4,73,-1.267,1
社17,shakai,1,2,1,1,1,56,-0.336,1
社18,shakai,2,6,1,1,,63,-0.779,1
社19,shakai,2,6,1,1,,24,2.546,1
社20,shakai,3,8,2,,5,31,1.489,1
社21,shakai,3,7,1,2,,31,0.842,2
社22,shakai,3,8,1,1,,47,0.037,2
社23,shakai,3,8,2,,5,36,1.595,1
社24,shakai,2,6,1,1,,76,-1.162,1
社25,shakai,3,7,2,,1,64,-0.783,1
社25,shakai,3,7,2,,3,64,-0.783,1
社26,shakai,3,8,2,,5,54,-0.221,1
社27,shakai,3,7,1,1,,66,-0.826,1
社28,shakai,2,5,1,1,,84,-1.503,1
社29,shakai,3,7,2,,5,49,0.113,1
社30,shakai,2,5,2,,5,62,-0.597,1
社31,shakai,3,8,2,,5,47,0.241,1
社32,shakai,3,8,2,,1,53,-0.141,1
社32,shakai,3,8,2,,3,53,-0.141,1
社33,shakai,1,3,1,2,,76,-1.066,2
社34,shakai,1,3,2,,1,56,-0.342,1
社35,shakai,1,3,2,,1,58,-0.415,1
社35,shakai,1,3,2,,5,58,-0.415,1
社36,shakai,1,3,2,,1,48,0.068,1
社36,shakai,1,3,2,,5,48,0.068,1
社37,shakai,1,4,2,,1,55,-0.286,1
社37,shakai,1,4,2,,3,55,-0.286,1
社38,shakai,1,4,1,1,4,75,-1.016,2
社42,shakai,2,5,2,,1,53,-0.175,1
社43,shakai,2,6,1,1,,64,-0.67,1
社44,shakai,3,8,2,,1,62,-0.523,3
社44,shakai,3,8,2,,2,62,-0.523,3
社45,shakai,3,8,2,,5,39,0.534,1
社46,shakai,2,6,1,2,,50,-0.022,1
社47,shakai,3,8,1,2,,40,0.638,1
数1,sugaku,1,1,1,1,,86,-1.804,1
数2,sugaku,1,1,1,2,,60,-0.558,1
数3,sugaku,1,1,2,,5,62,-0.679,1
数4,sugaku,1,2,1,2,,56,-0.33,1
数5,sugaku,1,2,1,2,,29,1.329,1
数6,sugaku,1,1,1,1,,72,-0.981,1
数7,sugaku,1,1,1,1,,47,0.146,1
数8,sugaku,1,2,1,1,,57,-0.41,1
数9,sugaku,1,2,1,1,,52,-0.189,1
数10,sugaku,1,1,2,,1,73,-1.146,2
数10,sugaku,1,1,2,,4,73,-1.146,2
数11,sugaku,1,1,2,,1,47,0.159,2
数11,sugaku,1,1,2,,4,47,0.159,2
数12,sugaku,1,2,2,,4,69,-0.898,1
数13,sugaku,1,2,2,,4,54,-0.364,1
数14,sugaku,1,2,2,,4,52,-0.206,1
数15,sugaku,1,3,1,2,,52,-0.213,1
数16,sugaku,1,3,1,1,,61,-0.5,1
数17,sugaku,1,3,1,2,2,58,-0.398,1
数18,sugaku,1,3,1,1,,69,-0.88,1
数19,sugaku,1,3,1,1,,37,0.846,1
数20,sugaku,1,3,1,1,,59,-0.498,1
数21,sugaku,3,5,1,1,,64,-0.67,1
数22,sugaku,3,5,1,1,,45,0.146,1
数23,sugaku,3,5,1,1,,31,0.665,1
数24,sugaku,3,5,1,1,,36,0.435,1
数25,sugaku,3,5,1,1,,46,0.284,1
数26,sugaku,3,5,2,,1,79,-1.235,2
数27,sugaku,3,5,2,,1,71,-1.428,1
数28,sugaku,3,5,2,,1,62,-0.623,1
数29,sugaku,3,5,2,,1,39,0.236,2
数29,sugaku,3,5,2,,5,39,0.236,2
数30,sugaku,3,5,2,,1,18,2.387,1
数30,sugaku,3,5,2,,5,18,2.387,1
数31,sugaku,3,5,2,,1,47,0.172,1
数31,sugaku,3,5,2,,5,47,0.172,1
数40,sugaku,3,5,2,,4,35,1.313,1
数40,sugaku,3,5,2,,5,35,1.313,1
数42,sugaku,1,3,2,,2,46,0.403,1
数42,sugaku,1,3,2,,3,46,0.403,1
数43,sugaku,1,3,2,,2,52,-0.132,1
数43,sugaku,1,3,2,,3,52,-0.132,1
数44,sugaku,1,3,2,,4,30,1.461,1
数44,sugaku,1,3,2,,5,30,1.461,1
数45,sugaku,1,3,2,,4,24,1.268,1
数45,sugaku,1,3,2,,5,24,1.268,1
B理1,rika,2,4,1,1,,74,-1.201,1
B理2,rika,2,5,1,1,,77,-1.154,1
B理3,rika,2,5,1,1,,60,-0.308,1
B理4,rika,2,4,1,1,,47,0.269,1
B理5,rika,2,4,1,1,,74,-1.348,1
B理6,rika,2,4,1,1,,55,-0.34,1
B理7,rika,2,5,2,,1,48,0.229,2
B理7,rika,2,5,2,,5,48,0.229,2
B理8,rika,2,5,2,,1,36,0.767,3
B理8,rika,2,5,2,,2,36,0.767,3
B理9,rika,2,5,2,,1,56,-0.263,1
B理9,rika,2,5,2,,5,56,-0.263,1
B理10,rika,2,5,2,,1,38,0.939,1
B理10,rika,2,5,2,,5,38,0.939,1
B理11,rika,2,5,1,2,,60,-0.304,1
B理12,rika,2,6,1,2,,76,-1.006,1
B理13,rika,2,6,1,2,,78,-0.971,1
B理14,rika,2,6,2,,3,66,-0.552,1
B理14,rika,2,6,2,,4,66,-0.552,1
B理15,rika,2,6,1,2,,87,-1.859,1
B理16,rika,2,6,1,2,,60,-0.455,1
B理17,rika,2,6,1,2,,80,-1.142,1
B理18,rika,2,6,2,,5,42,0.402,1
B理19,rika,2,6,2,,5,63,-0.471,1
B理20,rika,1,1,1,2,,77,-1.468,1
B理21,rika,1,1,1,1,,22,1.402,1
B理22,rika,1,1,1,1,,73,-0.995,1
B理23,rika,1,2,1,1,,40,0.78,1
B理24,rika,1,2,1,2,,80,-1.261,1
B理25,rika,1,2,2,,5,68,-1.0,1
B理26,rika,1,2,1,1,,40,0.714,1
B理27,rika,1,1,1,1,,63,-0.494,1
B理28,rika,1,1,2,,5,46,0.44,1
B理29,rika,1,1,2,,5,42,0.613,1
B理30,rika,1,3,1,1,,72,-0.993,1
B理31,rika,1,3,1,1,,51,0.117,1
B理32,rika,1,3,2,,5,70,-0.748,1
B理33,rika,1,3,1,2,,57,-0.251,1
B理34,rika,1,3,2,,4,44,0.478,1
B理35,rika,1,3,1,1,,62,-0.454,1
B理36,rika,1,3,2,,2,49,0.157,3
B理37,rika,1,1,1,1,3,31,1.178,1
B理37,rika,1,1,1,1,5,31,1.178,1
B理38,rika,1,3,2,,2,50,0.15,3
B理38,rika,1,3,2,,3,50,0.15,3
B理45,rika,3,7,2,,1,41,0.647,1
B理46,rika,3,7,1,1,,69,-1.082,1
B理47,rika,3,7,1,1,,40,0.634,1
B理48,rika,3,7,1,2,,51,-0.137,1
B理49,rika,3,8,2,,1,56,-0.482,1
B理49,rika,3,8,2,,5,56,-0.482,1
B理50,rika,3,8,2,,3,73,-0.88,1
B理50,rika,3,8,2,,4,73,-0.88,1
B理51,rika,3,8,2,,3,44,0.458,1
B理51,rika,3,8,2,,4,44,0.458,1
英1,eigo,1,1,1,2,,93,-2.946,1
英2,eigo,1,1,1,2,,80,-1.395,1
英3,eigo,1,1,1,2,,92,-2.653,1
英4,eigo,1,1,1,2,,80,-1.631,1
英5,eigo,1,2,1,2,1,59,-0.488,1
英6,eigo,1,2,1,2,1,55,-0.289,1
英7,eigo,1,2,1,2,1,40,0.756,1
英8,eigo,2,4,1,1,,55,-0.485,1
英9,eigo,2,4,1,1,,48,0.106,1
英10,eigo,2,4,1,1,,55,-0.296,1
英11,eigo,1,3,2,,3,63,-0.642,1
英11,eigo,1,3,2,,5,63,-0.642,1
英12,eigo,1,3,2,,3,61,-0.553,1
英12,eigo,1,3,2,,5,61,-0.553,1
英13,eigo,1,3,2,,3,32,1.068,1
英13,eigo,1,3,2,,5,32,1.068,1
英14,eigo,1,2,2,,4,60,-0.518,1
英15,eigo,1,2,2,,4,29,1.327,1
英16,eigo,1,2,2,,4,27,1.322,1
英17,eigo,2,5,2,,3,75,-1.032,1
英17,eigo,2,5,2,,4,75,-1.032,1
英18,eigo,2,5,2,,3,51,-0.115,1
英18,eigo,2,5,2,,4,51,-0.115,1
英19,eigo,2,5,2,,3,53,-0.256,1
英19,eigo,2,5,2,,4,53,-0.256,1
英20,eigo,4,10,1,1,,38,0.894,1
英21,eigo,4,10,1,1,,57,-0.346,1
英22,eigo,4,10,1,1,,58,-0.451,1
英23,eigo,3,7,1,2,,52,0.071,1
英24,eigo,3,7,1,2,,71,-1.145,1
英25,eigo,3,7,1,2,,72,-1.073,1
英26,eigo,4,10,1,1,,61,-0.562,2
英27,eigo,4,10,1,1,,36,0.486,2
英28,eigo,3,8,2,,4,60,-0.534,1
英29,eigo,3,8,2,,4,56,-0.365,1
英30,eigo,3,8,2,,4,54,-0.217,1
英31,eigo,3,8,2,,4,45,0.361,1
英32,eigo,2,6,2,,3,69,-0.892,1
英33,eigo,2,6,2,,3,57,-0.405,1
英34,eigo,2,6,2,,3,51,-0.115,1
英35,eigo,2,6,2,,3,52,-0.165,1
英36,eigo,2,5,1,1,,64,-0.685,1
英37,eigo,2,5,1,1,,76,-1.048,1
英38,eigo,2,5,1,1,,84,-1.504,1
英39,eigo,2,5,1,1,,69,-0.9,1
英40,eigo,2,5,1,1,,70,-0.904,1
英41,eigo,2,5,1,1,,62,-0.58,1
英42,eigo,4,10,1,2,,61,-0.575,1
英43,eigo,4,10,1,2,,60,-0.574,1
英44,eigo,4,10,1,2,,73,-0.984,1
英45,eigo,4,11,2,,2,34,0.864,1
英45,eigo,4,11,2,,5,34,0.864,1
英46,eigo,4,11,2,,2,67,-0.749,1
英46,eigo,4,11,2,,5,67,-0.749,1
英47,eigo,4,10,1,1,,72,-1.051,1
英48,eigo,4,10,1,1,,85,-1.425,1
英49,eigo,4,11,2,,1,36,0.334,2
英49,eigo,4,11,2,,2,36,0.334,2
英50,eigo,4,11,2,,1,28,0.787,2
英50,eigo,4,11,2,,2,28,0.787,2
英51,eigo,4,11,2,,1,42,0.172,2
英51,eigo,4,11,2,,2,42,0.172,2
英52,eigo,3,9,2,,5,49,-0.13,2
英53,eigo,3,9,2,,2,21,1.087,3
英53,eigo,3,9,2,,5,21,1.087,3
英54,eigo,3,9,2,,5,48,0.202,1
英55,eigo,3,9,2,,5,56,-0.333,1
英56,eigo,3,8,2,,3,55,-0.324,1
英56,eigo,3,8,2,,5,55,-0.324,1
英57,eigo,3,8,2,,3,63,-0.606,1
英57,eigo,3,8,2,,5,63,-0.606,1
英58,eigo,4,11,2,,2,31,0.759,3
英59,eigo,4,11,2,,2,34,0.454,3
