"school","class_id","student_no","kokugo_score","kokugo_n","kokugo_rate","shakai_score","shakai_n","shakai_rate","sugaku_score","sugaku_n","sugaku_rate","rika_score","rika_n","rika_rate","eigo_score","eigo_n","eigo_rate","kokugo_gmm","kokugo_cut","shakai_gmm","shakai_cut","sugaku_gmm","sugaku_cut","rika_gmm","rika_cut","eigo_gmm","eigo_cut"
"B",2,15,46,51,0.901960784313726,37,44,0.840909090909091,25,36,0.694444444444444,32,45,0.711111111111111,50,59,0.847457627118644,5,5,5,4,4,3,4,4,5,4
"B",2,16,35,51,0.686274509803922,27,44,0.613636363636364,17,36,0.472222222222222,29,45,0.644444444444444,36,59,0.610169491525424,4,3,4,3,3,2,4,3,3,3
"B",2,17,38,51,0.745098039215686,19,44,0.431818181818182,18,36,0.5,25,45,0.555555555555556,49,59,0.830508474576271,4,4,3,2,3,2,3,3,5,4
"B",2,18,39,51,0.764705882352941,22,44,0.5,23,36,0.638888888888889,24,45,0.533333333333333,46,59,0.779661016949153,5,4,3,2,4,3,3,2,5,4
"B",2,19,17,51,0.333333333333333,11,44,0.25,15,36,0.416666666666667,12,45,0.266666666666667,22,59,0.372881355932203,1,1,2,1,3,2,1,1,2,1
"B",2,20,33,51,0.647058823529412,30,44,0.681818181818182,26,36,0.722222222222222,25,45,0.555555555555556,39,59,0.661016949152542,4,3,4,3,4,4,3,3,4,3
"B",2,21,37,51,0.725490196078431,29,44,0.659090909090909,15,36,0.416666666666667,24,45,0.533333333333333,38,59,0.644067796610169,4,4,4,3,3,2,3,2,4,3
"B",2,22,45,51,0.882352941176471,41,44,0.931818181818182,34,36,0.944444444444444,40,45,0.888888888888889,53,59,0.898305084745763,5,5,5,5,5,5,5,5,5,5
"B",2,23,34,51,0.666666666666667,32,44,0.727272727272727,14,36,0.388888888888889,32,45,0.711111111111111,48,59,0.813559322033898,4,3,4,4,3,1,4,4,5,4
"B",2,24,40,51,0.784313725490196,32,44,0.727272727272727,24,36,0.666666666666667,33,45,0.733333333333333,33,59,0.559322033898305,5,4,4,4,4,3,4,4,3,3
"B",2,25,26,51,0.509803921568627,19,44,0.431818181818182,9,36,0.25,21,45,0.466666666666667,32,59,0.542372881355932,2,2,3,2,1,1,3,2,3,2
"B",2,26,35,51,0.686274509803922,36,44,0.818181818181818,26,36,0.722222222222222,36,45,0.8,54,59,0.915254237288136,4,3,5,4,4,4,4,4,5,5
"B",2,27,39,51,0.764705882352941,34,44,0.772727272727273,27,36,0.75,31,45,0.688888888888889,50,59,0.847457627118644,5,4,4,4,4,4,4,3,5,4
"B",2,28,40,51,0.784313725490196,23,44,0.522727272727273,23,36,0.638888888888889,22,45,0.488888888888889,33,59,0.559322033898305,5,4,3,2,4,3,3,2,3,3
"B",2,29,36,51,0.705882352941177,42,44,0.954545454545455,33,36,0.916666666666667,39,45,0.866666666666667,48,59,0.813559322033898,4,4,5,5,5,5,5,5,5,4
"B",2,30,35,51,0.686274509803922,24,44,0.545454545454545,10,36,0.277777777777778,23,45,0.511111111111111,33,59,0.559322033898305,4,3,3,2,1,1,3,2,3,3
"C",1,1,26,51,0.509803921568627,23,44,0.522727272727273,12,36,0.333333333333333,23,45,0.511111111111111,24,59,0.406779661016949,2,2,3,2,2,1,3,2,2,2
"C",1,2,33,51,0.647058823529412,27,44,0.613636363636364,19,36,0.527777777777778,16,45,0.355555555555556,50,59,0.847457627118644,4,3,4,3,3,2,2,1,5,4
"C",1,3,25,51,0.490196078431373,25,44,0.568181818181818,18,36,0.5,5,45,0.111111111111111,32,59,0.542372881355932,2,2,3,3,3,2,1,1,3,2
"C",1,4,30,51,0.588235294117647,33,44,0.75,29,36,0.805555555555556,8,45,0.177777777777778,45,59,0.76271186440678,3,3,4,4,4,4,1,1,5,4
"C",1,5,25,51,0.490196078431373,19,44,0.431818181818182,5,36,0.138888888888889,23,45,0.511111111111111,25,59,0.423728813559322,2,2,3,2,1,1,3,2,2,2
"C",1,6,34,51,0.666666666666667,26,44,0.590909090909091,20,36,0.555555555555556,17,45,0.377777777777778,33,59,0.559322033898305,4,3,4,3,3,3,2,1,3,3
"C",1,7,36,51,0.705882352941177,24,44,0.545454545454545,16,36,0.444444444444444,24,45,0.533333333333333,45,59,0.76271186440678,4,4,3,2,3,2,3,2,5,4
"C",1,8,30,51,0.588235294117647,18,44,0.409090909090909,7,36,0.194444444444444,11,45,0.244444444444444,25,59,0.423728813559322,3,3,3,2,1,1,1,1,2,2
"C",1,9,25,51,0.490196078431373,30,44,0.681818181818182,27,36,0.75,23,45,0.511111111111111,29,59,0.491525423728814,2,2,4,3,4,4,3,2,3,2
"C",1,10,26,51,0.509803921568627,15,44,0.340909090909091,17,36,0.472222222222222,16,45,0.355555555555556,33,59,0.559322033898305,2,2,2,1,3,2,2,1,3,3
"C",1,11,35,51,0.686274509803922,28,44,0.636363636363636,15,36,0.416666666666667,33,45,0.733333333333333,56,59,0.949152542372881,4,3,4,3,3,2,4,4,5,5
"C",1,12,16,51,0.313725490196078,22,44,0.5,14,36,0.388888888888889,22,45,0.488888888888889,28,59,0.474576271186441,1,1,3,2,3,1,3,2,2,2
"C",1,13,26,51,0.509803921568627,32,44,0.727272727272727,17,36,0.472222222222222,31,45,0.688888888888889,37,59,0.627118644067797,2,2,4,4,3,2,4,3,3,3
"C",1,14,36,51,0.705882352941177,28,44,0.636363636363636,18,36,0.5,26,45,0.577777777777778,50,59,0.847457627118644,4,4,4,3,3,2,3,3,5,4
"C",1,15,27,51,0.529411764705882,30,44,0.681818181818182,20,36,0.555555555555556,43,45,0.955555555555556,38,59,0.644067796610169,2,2,4,3,3,3,5,5,4,3
"C",1,16,30,51,0.588235294117647,28,44,0.636363636363636,18,36,0.5,21,45,0.466666666666667,34,59,0.576271186440678,3,3,4,3,3,2,3,2,3,3
"C",1,17,24,51,0.470588235294118,22,44,0.5,13,36,0.361111111111111,35,45,0.777777777777778,32,59,0.542372881355932,2,2,3,2,2,1,4,4,3,2
"C",1,18,25,51,0.490196078431373,19,44,0.431818181818182,9,36,0.25,33,45,0.733333333333333,30,59,0.508474576271186,2,2,3,2,1,1,4,4,3,2
"C",1,19,21,51,0.411764705882353,17,44,0.386363636363636,12,36,0.333333333333333,19,45,0.422222222222222,21,59,0.355932203389831,2,2,3,1,2,1,2,2,2,1
"C",1,20,25,51,0.490196078431373,0,44,0,24,36,0.666666666666667,35,45,0.777777777777778,14,59,0.23728813559322,2,2,1,1,4,3,4,4,2,1
"C",1,21,41,51,0.803921568627451,33,44,0.75,31,36,0.861111111111111,18,45,0.4,39,59,0.661016949152542,5,4,4,4,5,5,2,1,4,3
"C",1,22,38,51,0.745098039215686,31,44,0.704545454545455,24,36,0.666666666666667,38,45,0.844444444444444,41,59,0.694915254237288,4,4,4,4,4,3,5,4,4,3
"C",1,23,27,51,0.529411764705882,18,44,0.409090909090909,18,36,0.5,13,45,0.288888888888889,18,59,0.305084745762712,2,2,3,2,3,2,1,1,2,1
"C",1,24,31,51,0.607843137254902,16,44,0.363636363636364,8,36,0.222222222222222,35,45,0.777777777777778,19,59,0.322033898305085,3,3,2,1,1,1,4,4,2,1
"C",1,25,35,51,0.686274509803922,31,44,0.704545454545455,27,36,0.75,39,45,0.866666666666667,39,59,0.661016949152542,4,3,4,4,4,4,5,5,4,3
"C",1,26,24,51,0.470588235294118,11,44,0.25,5,36,0.138888888888889,25,45,0.555555555555556,22,59,0.372881355932203,2,2,2,1,1,1,3,3,2,1
"C",1,27,12,51,0.235294117647059,15,44,0.340909090909091,14,36,0.388888888888889,44,45,0.977777777777778,15,59,0.254237288135593,1,1,2,1,3,1,5,5,2,1
"C",1,28,21,51,0.411764705882353,7,44,0.159090909090909,15,36,0.416666666666667,34,45,0.755555555555556,10,59,0.169491525423729,2,2,2,1,3,2,4,4,2,1
"C",1,29,18,51,0.352941176470588,22,44,0.5,16,36,0.444444444444444,10,45,0.222222222222222,20,59,0.338983050847458,2,1,3,2,3,2,1,1,2,1
"C",1,30,26,51,0.509803921568627,30,44,0.681818181818182,28,36,0.777777777777778,34,45,0.755555555555556,24,59,0.406779661016949,2,2,4,3,4,4,4,4,2,2
"C",2,1,23,51,0.450980392156863,29,44,0.659090909090909,20,36,0.555555555555556,12,45,0.266666666666667,20,59,0.338983050847458,2,2,4,3,3,3,1,1,2,1
"C",2,2,16,51,0.313725490196078,0,44,0,8,36,0.222222222222222,17,45,0.377777777777778,0,59,0,1,1,1,1,1,1,2,1,1,1
"C",2,3,15,51,0.294117647058824,9,44,0.204545454545455,10,36,0.277777777777778,16,45,0.355555555555556,9,59,0.152542372881356,1,1,2,1,1,1,2,1,2,1
"C",2,4,19,51,0.372549019607843,2,44,0.0454545454545455,5,36,0.138888888888889,19,45,0.422222222222222,13,59,0.220338983050847,2,1,1,1,1,1,2,2,2,1
"C",2,5,30,51,0.588235294117647,26,44,0.590909090909091,19,36,0.527777777777778,17,45,0.377777777777778,34,59,0.576271186440678,3,3,4,3,3,2,2,1,3,3
"C",2,6,37,51,0.725490196078431,39,44,0.886363636363636,35,36,0.972222222222222,20,45,0.444444444444444,47,59,0.796610169491525,4,4,5,5,5,5,2,2,5,4
"C",2,7,38,51,0.745098039215686,34,44,0.772727272727273,16,36,0.444444444444444,32,45,0.711111111111111,43,59,0.728813559322034,4,4,4,4,3,2,4,4,4,4
"C",2,8,43,51,0.843137254901961,36,44,0.818181818181818,27,36,0.75,27,45,0.6,42,59,0.711864406779661,5,4,5,4,4,4,3,3,4,4
"C",2,9,10,51,0.196078431372549,0,44,0,3,36,0.0833333333333333,30,45,0.666666666666667,0,59,0,1,1,1,1,1,1,4,3,1,1
